batsman,bowler,s/r,avg,batting_team,bowling_team,venue,is_batting_first
19.783863231930898,19.756757770104297,135.71,43.5,17.493939393939375,16.25632911392415,17.495833333333334,1
19.783863231930898,19.829360525539776,135.71,43.5,17.493939393939375,16.25632911392415,17.495833333333334,1
19.783863231930898,21.086923558936427,135.71,43.5,17.493939393939375,16.25632911392415,17.495833333333334,1
23.018904209274066,19.756757770104297,128.57,38.0,17.493939393939375,16.25632911392415,17.495833333333334,1
23.018904209274066,19.829360525539776,128.57,38.0,17.493939393939375,16.25632911392415,17.495833333333334,1
23.018904209274066,21.086923558936427,128.57,38.0,17.493939393939375,16.25632911392415,17.495833333333334,1
23.709645253166105,19.756757770104297,142.11,41.0,17.493939393939375,16.25632911392415,17.495833333333334,1
23.709645253166105,19.829360525539776,142.11,41.0,17.493939393939375,16.25632911392415,17.495833333333334,1
23.709645253166105,21.086923558936427,142.11,41.0,17.493939393939375,16.25632911392415,17.495833333333334,1
18.913918372763476,16.617344234767675,125.93,32.5,16.300940438871542,16.59016393442639,17.495833333333334,0
18.913918372763476,18.050633984481752,125.93,32.5,16.300940438871542,16.59016393442639,17.495833333333334,0
18.913918372763476,13.346600751877606,125.93,32.5,16.300940438871542,16.59016393442639,17.495833333333334,0
23.162049848146545,16.617344234767675,115.38,35.5,16.300940438871542,16.59016393442639,17.495833333333334,0
23.162049848146545,18.050633984481752,115.38,35.5,16.300940438871542,16.59016393442639,17.495833333333334,0
23.162049848146545,13.346600751877606,115.38,35.5,16.300940438871542,16.59016393442639,17.495833333333334,0
23.072242250812657,16.617344234767675,130.43,30.25,16.300940438871542,16.59016393442639,17.495833333333334,0
23.072242250812657,18.050633984481752,130.43,30.25,16.300940438871542,16.59016393442639,17.495833333333334,0
23.072242250812657,13.346600751877606,130.43,30.25,16.300940438871542,16.59016393442639,17.495833333333334,0
16.551376226352225,16.617344234767675,125.0,20.5,16.300940438871542,16.59016393442639,17.495833333333334,0
16.551376226352225,18.050633984481752,125.0,20.5,16.300940438871542,16.59016393442639,17.495833333333334,0
16.551376226352225,13.346600751877606,125.0,20.5,16.300940438871542,16.59016393442639,17.495833333333334,0
15.689854985400485,19.756757770104297,164.52,29.33,17.493939393939375,16.25632911392415,16.973700887198987,1
15.689854985400485,19.829360525539776,164.52,29.33,17.493939393939375,16.25632911392415,16.973700887198987,1
15.689854985400485,21.086923558936427,164.52,29.33,17.493939393939375,16.25632911392415,16.973700887198987,1
12.73149935033054,19.756757770104297,100.0,0.0,17.493939393939375,16.25632911392415,16.973700887198987,1
12.73149935033054,19.829360525539776,100.0,0.0,17.493939393939375,16.25632911392415,16.973700887198987,1
12.73149935033054,21.086923558936427,100.0,0.0,17.493939393939375,16.25632911392415,16.973700887198987,1
11.502710976261689,19.756757770104297,80.0,5.0,17.493939393939375,16.25632911392415,16.973700887198987,1
11.502710976261689,19.829360525539776,80.0,5.0,17.493939393939375,16.25632911392415,16.973700887198987,1
11.502710976261689,21.086923558936427,80.0,5.0,17.493939393939375,16.25632911392415,16.973700887198987,1
15.689854985400485,19.756757770104297,164.52,29.33,17.493939393939375,16.25632911392415,16.973700887198987,1
12.73149935033054,19.756757770104297,100.0,0.0,17.493939393939375,16.25632911392415,16.973700887198987,1
11.502710976261689,19.756757770104297,80.0,5.0,17.493939393939375,16.25632911392415,16.973700887198987,1
15.689854985400485,19.829360525539776,164.52,29.33,17.493939393939375,16.25632911392415,16.973700887198987,1
12.73149935033054,19.829360525539776,100.0,0.0,17.493939393939375,16.25632911392415,16.973700887198987,1
11.502710976261689,19.829360525539776,80.0,5.0,17.493939393939375,16.25632911392415,16.973700887198987,1
15.689854985400485,21.086923558936427,164.52,29.33,17.493939393939375,16.25632911392415,16.973700887198987,1
12.73149935033054,21.086923558936427,100.0,0.0,17.493939393939375,16.25632911392415,16.973700887198987,1
11.502710976261689,21.086923558936427,80.0,5.0,17.493939393939375,16.25632911392415,16.973700887198987,1
